Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
13,83.209,97.483,0.01446019,0.01084514,4.636085,4.377585,34.07,34.07,Sess01_script01_M008,surprise,1.5,3.6,surprise,1,3,angry,1,5,surprise,2,4,surprise,1,4,surprise,1,5,surprise,1,1,surprise,2,4,surprise,1,4,angry,3,4,surprise,2,2
14,97.483,105.53,0.01084514,-0.01084514,4.377585,4.272497,34.07,34.03,Sess01_script01_F006,fear,1.7,3.5,fear,3,3,surprise,1,4,neutral,2,3,surprise,1,4,surprise,1,5,fear,1,1,neutral,2,4,fear,1,4,angry,3,4,fear,2,3
15,105.53,112.794,-0.01084514,0.09399121,4.272497,4.546751,34.03,33.99,Sess01_script01_M009,fear,1.7,3.4,fear,3,4,fear,1,5,surprise,2,4,surprise,1,4,fear,1,5,fear,1,1,neutral,3,3,fear,1,4,neutral,3,2,fear,1,2
16,112.794,132.914,0.09399121,-0.02169028,4.546751,5.090134,33.99,33.87,Sess01_script01_M010,fear,2.8,4,happy,5,5,happy,1,5,neutral,4,4,fear,5,4,fear,1,5,fear,1,1,happy,5,4,fear,1,4,neutral,4,4,neutral,1,4
17,132.914,136.867,-0.02169028,-0.0542257,5.090134,5.261487,33.87,33.77,Sess01_script01_F007,fear,1.9,3.4,fear,3,3,fear,1,4,neutral,3,4,fear,1,4,fear,1,5,fear,1,1,neutral,3,3,fear,1,4,neutral,3,3,neutral,2,3
18,136.867,142.708,-0.0542257,0.01807523,5.261487,6.088647,33.77,33.81,Sess01_script01_M011,angry,1.3,4.5,angry,2,5,angry,1,5,angry,1,5,angry,1,5,fear,1,5,angry,1,1,angry,2,5,angry,1,4,angry,2,5,angry,1,5
19,142.708,145.373,0.01807523,-0.01084514,6.088647,7.116174,33.81,33.79,Sess01_script01_F008,angry,1.6,3.8,angry,3,3,angry,1,5,angry,2,4,angry,1,5,fear,1,5,fear,1,1,neutral,3,3,fear,1,4,neutral,2,4,angry,1,4
20,145.373,161.198,-0.01084514,0.003615046,7.116174,6.871395,33.79,33.81,Sess01_script01_M012,fear,1.6,3.4,fear,3,3,fear,1,5,neutral,2,4,fear,1,4,fear,1,4,fear,1,1,neutral,2,3,fear,1,4,neutral,3,3,neutral,1,3
21,161.198,168.5,0.003615046,-0.5747924,6.871395,7.168718,33.81,33.75,Sess01_script01_F009,fear,1.7,3.3,fear,3,2,fear,1,5,neutral,2,4,fear,1,4,fear,1,4,fear,1,1,neutral,2,3,fear,1,4,neutral,3,3,neutral,2,3
22,168.5,171.943,-0.5747924,-0.01446019,7.168718,6.777841,33.75,33.75,Sess01_script01_M013,angry,1.3,4.6,angry,1,5,angry,1,5,angry,2,5,angry,1,5,angry,1,5,angry,1,1,angry,2,5,angry,1,5,angry,2,5,angry,1,5
23,171.943,181.221,-0.01446019,-0.4048852,6.777841,7.209728,33.75,33.68,Sess01_script01_M014,angry,1.6,3.5,angry,2,3,angry,2,5,angry,2,4,fear,1,4,fear,2,4,angry,1,1,neutral,2,3,angry,1,4,neutral,2,4,angry,1,3
24,181.221,182.593,-0.4048852,0.05784074,7.209728,7.42503,33.68,33.68,Sess01_script01_F010,fear,1.9,3.4,angry,3,3,angry,2,5,angry,2,4,fear,1,4,fear,2,4,fear,1,1,neutral,3,3,fear,1,4,neutral,3,3,neutral,1,3
25,182.593,191.106,0.05784074,-0.3289692,7.42503,8.609143,33.68,33.71,Sess01_script01_M015,angry,1.5,3.5,angry,2,3,angry,1,5,angry,2,4,fear,1,4,fear,1,4,angry,1,1,neutral,2,3,angry,1,4,neutral,3,4,angry,1,3
26,191.106,194.738,-0.3289692,-0.05784074,8.609143,9.05069,33.71,33.65,Sess01_script01_F011,neutral,1.6,3.4,angry,3,3,angry,1,5,angry,2,4,fear,1,4,neutral,1,4,neutral,1,1,neutral,2,3,neutral,1,4,neutral,3,3,angry,1,3
27,194.738,203.517,-0.05784074,0.06145579,9.05069,9.466312,33.65,33.57,Sess01_script01_F012,neutral,1.8,3.4,angry,3,3,angry,2,5,angry,2,4,fear,1,4,neutral,1,4,neutral,1,1,neutral,3,3,neutral,1,4,neutral,3,3,neutral,1,3
28,203.517,209.768,0.06145579,0.04338056,9.466312,9.720061,33.57,33.57,Sess01_script01_M016,angry,1.1,4.4,angry,1,5,angry,1,5,angry,1,5,angry,1,5,angry,1,4,angry,1,1,angry,1,5,angry,1,4,angry,2,5,angry,1,5
29,209.768,216.907,0.04338056,-0.01807523,9.720061,9.881538,33.57,33.49,Sess01_script01_F013,angry,1.5,3.9,angry,3,4,angry,1,5,angry,2,5,angry,1,5,neutral,1,4,angry,1,1,neutral,2,3,angry,1,4,angry,2,4,angry,1,4
30,216.907,221.544,-0.01807523,0,9.881538,1.795114,33.49,33.41,Sess01_script01_M017,angry,1.3,4.3,angry,2,5,angry,1,5,angry,1,5,angry,1,5,angry,1,5,angry,1,1,neutral,2,3,angry,1,4,angry,2,5,angry,1,5
31,221.544,224.715,0,-0.01446019,1.795114,2.270574,33.41,33.47,Sess01_script01_F014,angry,1.6,3.8,angry,3,4,angry,1,5,angry,2,5,angry,1,5,angry,1,5,angry,1,1,neutral,3,3,angry,1,4,angry,2,3,angry,1,3
32,224.715,229.455,-0.01446019,-0.3253542,2.270574,2.676137,33.47,33.5,Sess01_script01_M018,angry,1.3,3.4,angry,2,3,angry,1,5,angry,1,4,angry,1,5,angry,1,3,angry,1,1,neutral,2,3,angry,1,4,angry,2,3,angry,1,3
33,229.455,234.2,-0.3253542,-0.466341,2.676137,3.097771,33.5,33.45,Sess01_script01_M019,angry,1.2,3.6,angry,1,4,angry,1,5,angry,1,4,angry,1,5,angry,1,3,angry,1,1,neutral,2,3,angry,1,4,angry,2,4,angry,1,3
34,234.2,237.868,-0.466341,-0.06145579,3.097771,3.844532,33.45,33.49,Sess01_script01_F015,angry,1.5,3.3,angry,3,3,angry,1,5,angry,2,4,angry,1,4,angry,1,3,angry,1,1,neutral,2,3,angry,1,4,angry,2,3,neutral,1,3
35,237.868,240.918,-0.06145579,-0.09399121,3.844532,3.871445,33.49,33.47,Sess01_script01_M020,angry,1.4,3.8,angry,1,4,angry,2,5,angry,2,5,angry,1,4,angry,1,4,angry,1,1,neutral,2,3,angry,1,4,angry,2,4,angry,1,4
36,240.918,251.087,-0.09399121,-0.3723498,3.871445,4.460887,33.47,33.47,Sess01_script01_M021,angry,1.2,4.3,angry,1,5,angry,1,5,angry,1,5,angry,1,5,angry,1,5,angry,1,1,neutral,2,3,angry,1,4,angry,2,5,angry,1,5
37,251.087,252.837,-0.3723498,0.0469956,4.460887,4.642869,33.47,33.47,Sess01_script01_F016,angry,1.5,3.6,angry,3,3,angry,1,5,angry,2,4,angry,1,5,angry,1,5,angry,1,1,neutral,2,3,angry,1,4,angry,2,3,neutral,1,3
38,252.837,273.067,0.0469956,0.0469956,4.642869,6.56382,33.47,33.43,Sess01_script01_M022,angry,1.4,4.1,angry,3,5,angry,1,5,angry,1,5,angry,1,5,angry,1,5,angry,1,1,angry,2,3,angry,1,4,angry,2,4,angry,1,4
39,273.067,275.382,0.0469956,-0.2747435,6.56382,6.526655,33.43,33.43,Sess01_script01_M023,angry,1.5,3.3,angry,3,4,angry,1,4,angry,2,4,angry,1,4,angry,1,3,angry,1,1,neutral,2,3,angry,1,4,neutral,2,3,angry,1,3
40,275.382,285.074,-0.2747435,0.05061065,6.526655,7.505634,33.43,33.39,Sess01_script01_M024,angry,1.4,3.2,angry,2,3,angry,1,3,angry,2,4,angry,1,4,angry,1,3,angry,1,1,neutral,2,3,angry,1,4,angry,2,3,angry,1,4
41,285.074,290.641,0.05061065,-0.1012213,7.505634,7.212157,33.39,33.37,Sess01_script01_F017,neutral;angry,1.6,3.1,angry,3,3,angry,1,3,angry,2,4,angry,1,4,angry,1,3,neutral,1,1,neutral,3,3,neutral,1,4,neutral,2,3,neutral,1,3
42,290.641,305.275,-0.1012213,0.0469956,7.212157,7.280365,33.37,33.16,Sess01_script01_M025,neutral,2.1,3.1,fear,4,3,angry,1,3,neutral,2,4,fear,4,4,angry,1,3,neutral,1,1,neutral,3,3,neutral,1,4,neutral,3,3,neutral,1,3
43,305.275,338.113,0.0469956,0.03976551,7.280365,9.053253,33.16,32.29,Sess01_script01_M026,fear,3,3.8,happy,5,4,happy,1,5,neutral,4,4,fear,5,4,fear,3,5,fear,1,1,happy,5,4,fear,1,5,neutral,4,3,neutral,1,3
44,338.113,343.249,0.03976551,-0.545872,9.053253,8.916125,32.29,32.5,Sess01_script01_M027,neutral;fear,2.2,3.1,angry,3,2,angry,1,3,neutral,3,4,fear,4,4,fear,2,3,fear,1,1,neutral,3,3,fear,1,5,neutral,3,3,neutral,1,3
45,343.249,357.28,-0.545872,-0.1807523,8.916125,9.169875,32.5,32.61,Sess01_script01_F018,surprise,2.1,3.2,fear,3,3,surprise,2,4,surprise,3,3,surprise,2,4,fear,2,3,surprise,1,1,neutral,3,3,surprise,1,5,surprise,2,3,neutral,2,3
46,357.28,359.705,-0.1807523,-0.3615046,9.169875,9.340322,32.61,32.77,Sess01_script01_M028,surprise,2.2,3.7,fear,3,2,surprise,2,5,surprise,3,3,surprise,2,4,surprise,3,5,surprise,1,1,surprise,3,4,surprise,1,5,surprise,2,4,surprise,2,4
47,359.705,367.835,-0.3615046,-0.1446019,9.340322,9.805926,32.77,32.79,Sess01_script01_F019,surprise,2.2,3.9,surprise,3,4,surprise,2,5,surprise,3,4,surprise,2,4,surprise,3,5,surprise,1,1,surprise,3,4,surprise,1,5,surprise,2,4,fear,2,3
48,367.835,373.274,-0.1446019,-0.07230093,9.805926,10.089607,32.79,32.77,Sess01_script01_M029,surprise,1.9,4,surprise,3,4,surprise,1,5,surprise,3,4,surprise,2,4,surprise,2,5,surprise,1,1,surprise,3,4,surprise,1,5,surprise,2,4,surprise,1,4
49,373.274,375.461,-0.07230093,0.469956,10.089607,10.238269,32.77,32.75,Sess01_script01_F020,surprise,1.9,3.9,fear,3,3,surprise,1,5,surprise,3,4,fear,2,4,surprise,2,5,surprise,1,1,surprise,3,4,surprise,1,5,surprise,2,4,fear,1,4
50,375.461,388.084,0.469956,0.01446019,10.238269,10.627999,32.75,32.75,Sess01_script01_M030,fear,1.5,3.8,fear,3,4,surprise,1,5,neutral,2,3,fear,1,4,fear,1,5,surprise,1,1,neutral,2,4,surprise,1,5,angry,2,3,fear,1,4
51,388.084,391.343,0.01446019,-0.1301417,10.627999,10.647223,32.75,32.61,Sess01_script01_F021,neutral,1.6,3.3,fear,3,3,fear,1,5,neutral,2,3,fear,1,4,fear,1,5,neutral,1,1,neutral,3,3,neutral,1,4,angry,2,3,neutral,1,2
52,391.343,393.611,-0.1301417,0.003615046,10.647223,11.142125,32.61,32.73,Sess01_script01_M031,neutral,1.6,3.3,neutral,2,3,angry,1,5,neutral,2,3,fear,1,4,fear,1,4,neutral,1,1,neutral,3,3,neutral,1,4,angry,3,3,neutral,1,3
53,393.611,397.474,0.003615046,-0.4085003,11.142125,10.867871,32.73,32.73,Sess01_script01_F022,neutral,1.7,3.3,neutral,2,3,angry,1,5,neutral,2,3,fear,2,4,fear,1,4,neutral,1,1,neutral,3,3,neutral,1,4,angry,3,3,neutral,1,3
54,397.474,400.15,-0.4085003,0.0469956,10.867871,10.874279,32.73,32.75,Sess01_script01_M032,angry;fear,1.7,3.6,neutral,2,4,angry,2,5,angry,2,4,fear,2,4,fear,1,4,fear,1,1,angry,2,3,fear,1,4,angry,3,3,neutral,1,4
55,5.153,10.021,-0.04338056,-0.2638984,6.606698,6.508018,32.55,32.65,Sess01_script02_F001,neutral,3.9,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3,neutral,4,3
56,10.021,15.006,-0.2638984,-0.5784075,6.508018,6.464445,32.65,32.63,Sess01_script02_M001,neutral,3.9,2.7,happy,4,2,neutral,3,2,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,2,neutral,4,3
57,15.006,19.583,-0.5784075,-0.2964338,6.464445,6.113297,32.63,32.53,Sess01_script02_F002,neutral,3.8,2.9,neutral,4,3,neutral,3,2,neutral,3,3,surprise,4,3,happy,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3,neutral,4,3
58,19.583,23.913,-0.2964338,-0.05061065,6.113297,6.28302,32.53,32.55,Sess01_script02_M002,surprise,3.5,3.1,surprise,4,2,surprise,3,4,surprise,3,3,surprise,4,3,surprise,4,4,surprise,3,3,happy,4,3,surprise,3,3,surprise,3,3,surprise,4,3
59,23.913,26.176,-0.05061065,2.32086,6.28302,6.341971,32.55,32.57,Sess01_script02_F003,neutral,3.4,3,neutral,3,3,surprise,3,3,neutral,3,3,neutral,4,3,surprise,4,3,neutral,3,3,happy,4,3,neutral,3,3,neutral,3,3,neutral,4,3
60,26.176,39.881,2.32086,-0.02169028,6.341971,5.846007,32.57,32.73,Sess01_script02_M003,surprise,3.5,3.1,surprise,4,2,surprise,3,4,neutral,3,3,surprise,4,3,neutral,4,4,neutral,3,3,happy,4,3,neutral,3,3,surprise,3,3,surprise,4,3
61,39.881,42.774,-0.02169028,-0.8206156,5.846007,6.638737,32.73,32.75,Sess01_script02_F004,neutral,3.2,3,neutral,3,3,surprise,3,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,happy,4,3,neutral,3,3,neutral,3,3,neutral,3,3
62,42.774,49.573,-0.8206156,0.02530533,6.638737,5.465383,32.75,32.73,Sess01_script02_M004,neutral,3.2,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3
63,49.573,55.722,0.02530533,2.689595,5.465383,5.355593,32.73,32.75,Sess01_script02_F005,neutral,3.6,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,3,3
64,55.722,57.571,2.689595,-0.7989252,5.355593,5.429924,32.75,32.75,Sess01_script02_M005,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3
65,57.571,60.733,-0.7989252,0.05784074,5.429924,5.424798,32.75,32.77,Sess01_script02_F006,neutral,3.6,3,surprise,3,3,surprise,4,3,neutral,4,3,neutral,4,3,surprise,3,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,3,3
66,60.733,67.854,0.05784074,-0.4193454,5.424798,5.433769,32.77,32.81,Sess01_script02_M006,surprise,3.3,3.3,surprise,3,3,surprise,3,4,surprise,3,3,surprise,4,3,surprise,4,4,surprise,4,3,neutral,2,3,surprise,4,3,surprise,3,4,neutral,3,3
67,67.854,70.216,-0.4193454,0.05784074,5.433769,5.424798,32.81,32.81,Sess01_script02_M007,neutral,3.6,3,neutral,3,3,happy,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,4,3
68,70.216,72.122,0.05784074,-0.545872,5.424798,5.415827,32.81,32.81,Sess01_script02_F007,neutral,3.7,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3
69,72.122,74.041,-0.545872,-0.4193454,5.415827,5.426079,32.81,32.83,Sess01_script02_M008,neutral,3.8,3.1,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,4,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3
70,74.041,80.115,-0.4193454,-0.6000977,5.426079,5.432487,32.83,32.84,Sess01_script02_F008,neutral;surprise,3.7,3.5,surprise,3,3,surprise,4,5,neutral,3,3,neutral,4,3,surprise,4,4,neutral,4,3,surprise,4,5,neutral,4,3,surprise,3,3,neutral,4,3
71,80.115,85.516,-0.6000977,-0.03615047,5.432487,5.423516,32.84,32.89,Sess01_script02_M009,surprise,4.7,4.1,surprise,5,4,surprise,5,5,surprise,3,4,surprise,5,4,surprise,5,5,happy,5,4,happy,5,4,happy,5,4,surprise,4,4,happy,5,3
72,85.516,90.071,-0.03615047,-0.0542257,5.423516,5.403011,32.89,32.87,Sess01_script02_F009,happy,4.3,3.3,neutral,4,3,surprise,4,4,neutral,4,3,surprise,4,3,happy,5,4,happy,4,3,happy,5,4,happy,4,3,surprise,4,3,happy,5,3
73,90.071,98.259,-0.0542257,-0.3615046,5.403011,5.663168,32.87,32.89,Sess01_script02_M010,happy,4.5,3.3,surprise,5,2,surprise,5,4,happy,4,3,surprise,4,3,happy,5,5,happy,4,3,happy,5,4,happy,4,3,surprise,4,3,happy,5,3
74,98.259,100.871,-0.3615046,0.003615046,5.663168,5.901114,32.89,32.91,Sess01_script02_M011,neutral,3.6,3,neutral,3,3,surprise,3,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3
75,100.871,109.086,0.003615046,-0.3181241,5.901114,5.294078,32.91,32.93,Sess01_script02_F010,neutral,3.3,2.9,surprise,3,2,surprise,3,3,neutral,3,3,neutral,3,3,surprise,4,3,neutral,4,3,neutral,3,3,neutral,4,3,surprise,3,3,neutral,3,3
76,109.086,117.166,-0.3181241,-0.02169028,5.294078,5.130038,32.93,32.99,Sess01_script02_M012,neutral,3.7,3.4,neutral,4,4,surprise,3,4,neutral,3,3,neutral,3,3,neutral,4,4,surprise,4,3,neutral,4,3,surprise,4,3,neutral,4,4,neutral,4,3
77,117.166,140.458,-0.02169028,0.06868588,5.130038,5.340944,32.99,33,Sess01_script02_M013,neutral,3.8,3.1,neutral,4,3,happy,4,3,neutral,3,3,neutral,4,3,happy,4,3,neutral,4,3,happy,4,4,happy,4,3,neutral,3,3,neutral,4,3
78,140.458,142.565,0.06868588,-0.4482658,5.340944,5.440906,33,33,Sess01_script02_F011,neutral,4.1,3.1,neutral,4,3,happy,4,3,neutral,3,3,neutral,4,3,happy,4,3,neutral,4,3,happy,5,4,happy,4,3,neutral,4,3,neutral,5,3
79,142.565,150.823,-0.4482658,-0.07953102,5.440906,5.43505,33,32.97,Sess01_script02_M014,happy,4.3,3.3,neutral,4,3,happy,4,4,happy,4,3,neutral,4,3,happy,5,3,happy,4,3,happy,5,5,happy,4,3,neutral,4,3,neutral,5,3
80,150.823,155.105,-0.07953102,-0.2530532,5.43505,4.590933,32.97,32.97,Sess01_script02_F012,neutral,3.6,3.1,neutral,3,3,neutral,4,4,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,3,3
81,155.105,158.657,-0.2530532,0.03976551,4.590933,5.029524,32.97,32.95,Sess01_script02_M015,happy,4.3,3.1,surprise,5,2,happy,5,4,neutral,4,3,surprise,4,3,happy,5,4,happy,4,3,happy,4,3,happy,4,3,neutral,4,3,neutral,4,3
82,158.657,160.732,0.03976551,-0.2024426,5.029524,5.833616,32.95,32.65,Sess01_script02_F013,neutral;happy,4.2,3.1,happy,4,3,happy,5,3,neutral,4,3,happy,4,3,happy,5,4,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3
83,160.732,164.606,-0.2024426,-0.05061065,5.833616,4.761677,32.65,32.79,Sess01_script02_F014,neutral,3.8,3,neutral,4,3,happy,4,3,neutral,3,3,surprise,4,3,neutral,4,3,neutral,4,3,neutral,4,3,surprise,4,3,neutral,4,3,neutral,3,3
84,164.606,166.501,-0.05061065,0.05784074,4.761677,4.575851,32.79,32.87,Sess01_script02_M016,surprise,3,3.4,neutral,3,5,surprise,4,3,surprise,3,4,surprise,3,3,happy,4,3,surprise,2,3,surprise,3,3,surprise,2,3,neutral,2,3,neutral,4,4
85,166.501,174.167,0.05784074,0.1807523,4.575851,5.296641,32.87,32.99,Sess01_script02_F015,neutral,3.9,3,happy,4,3,happy,4,3,neutral,4,3,neutral,3,3,happy,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3
86,174.167,179.484,0.1807523,0.0542257,5.296641,5.124912,32.99,32.81,Sess01_script02_F016,neutral,3.7,3,neutral,4,3,surprise,3,3,neutral,3,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3
87,179.484,186.55,0.0542257,-0.03615047,5.124912,4.818066,32.81,32.83,Sess01_script02_M017,neutral,3.5,2.7,sad,3,2,neutral,3,2,neutral,3,3,neutral,4,3,neutral,4,2,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,3,3
88,186.55,189.777,-0.03615047,0.007230093,4.818066,4.873173,32.83,32.95,Sess01_script02_F017,neutral,3.4,2.8,neutral,3,3,neutral,3,2,neutral,3,3,neutral,4,3,neutral,3,2,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,3,3
89,189.777,198.895,0.007230093,0.04338056,4.873173,4.38143,32.95,32.97,Sess01_script02_M018,neutral,3.2,2.8,neutral,3,3,neutral,3,2,neutral,3,3,neutral,4,3,neutral,3,2,neutral,3,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,3,3
90,198.895,201.219,0.04338056,0.02892037,4.38143,4.300692,32.97,32.99,Sess01_script02_F018,neutral,3.2,2.8,neutral,3,3,neutral,3,2,neutral,3,3,neutral,4,3,neutral,3,2,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,3,3
91,201.219,205.661,0.02892037,-0.6687836,4.300692,4.225079,32.99,32.99,Sess01_script02_M019,neutral,3.8,2.9,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,3,2,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3
92,205.661,210.341,-0.6687836,-0.5639472,4.225079,4.310944,32.99,33,Sess01_script02_F019,neutral,3.6,2.9,neutral,4,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,3,2,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,3,3
93,210.341,213.986,-0.5639472,-0.697704,4.310944,4.246866,33,33,Sess01_script02_F020,neutral,3.2,2.8,neutral,3,3,neutral,3,2,neutral,3,3,neutral,4,3,neutral,3,2,neutral,3,3,neutral,4,3,sad,3,3,neutral,3,3,neutral,3,3
94,213.986,216.617,-0.697704,0.0469956,4.246866,4.214827,33,32.99,Sess01_script02_M020,neutral,3.3,2.7,neutral,4,2,neutral,3,2,neutral,3,3,neutral,4,3,neutral,3,2,neutral,3,3,neutral,3,3,sad,3,3,neutral,4,3,neutral,3,3
95,216.617,223.896,0.0469956,0.05061065,4.214827,4.140496,32.99,33.03,Sess01_script02_F021,neutral,3.1,2.7,sad,3,2,neutral,3,2,neutral,3,3,neutral,4,3,neutral,3,2,neutral,3,3,neutral,3,3,sad,3,3,neutral,3,3,neutral,3,3
96,223.896,245.09,0.05061065,-0.4554959,4.140496,3.939291,33.03,33.09,Sess01_script02_M021,sad,1.8,2.4,sad,2,3,sad,1,2,sad,2,3,sad,2,3,sad,2,2,sad,1,2,neutral,3,3,sad,1,2,neutral,2,1,sad,2,3
97,245.09,251.294,-0.4554959,-0.1843674,3.939291,3.883511,33.09,33.11,Sess01_script02_F022,surprise,2.3,2.5,surprise,3,2,sad,1,2,surprise,3,3,sad,2,3,sad,2,2,surprise,2,2,neutral,3,3,surprise,2,2,surprise,3,3,surprise,2,3
