Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
18,130.718,137.769,0.01446019,-0.06145579,0.522846,0.594609,32.57,32.57,Sess03_script01_M011,fear,1.6,3.6,fear,1,5,surprise,2,4,fear,2,2,fear,1,5,fear,1,5,fear,1,1,surprise,2,3,fear,2,4,fear,2,4,fear,2,3
19,137.769,138.587,-0.06145579,-0.07230093,0.594609,0.627928,32.57,32.55,Sess03_script01_F008,fear,1.6,3.3,fear,1,3,sad,2,4,fear,2,2,surprise,1,4,surprise,1,5,fear,1,1,neutral,2,3,fear,2,4,fear,3,4,fear,1,3
20,138.587,154.654,-0.07230093,0,0.627928,0.457757,32.55,32.57,Sess03_script01_M012,surprise,1.7,3.6,surprise,2,4,surprise,2,4,surprise,2,2,surprise,1,5,surprise,1,5,surprise,1,1,neutral,2,4,fear,2,5,surprise,3,3,fear,1,3
21,154.654,164.527,0,-0.03253542,0.457757,0.484668,32.57,32.55,Sess03_script01_F009,surprise,1.6,4.2,angry,2,5,angry,2,4,surprise,2,4,surprise,1,5,angry,1,5,surprise,1,1,angry,2,4,fear,2,5,surprise,2,5,surprise,1,4
22,164.527,168.415,-0.03253542,-0.08314607,0.484668,0.457757,32.55,32.55,Sess03_script01_M013,surprise,1.8,3.7,surprise,2,4,fear,2,4,surprise,2,3,surprise,1,5,angry,1,5,surprise,1,1,surprise,2,4,fear,2,5,surprise,3,3,neutral,2,3
23,168.415,178.439,-0.08314607,0.08314607,0.457757,0.43469,32.55,32.57,Sess03_script01_M014,surprise,1.6,3.5,surprise,1,3,fear,2,4,surprise,2,3,surprise,1,5,surprise,1,5,surprise,1,1,neutral,2,3,fear,2,5,fear,2,3,neutral,2,3
24,178.439,180.32,0.08314607,0.1373718,0.43469,0.433409,32.57,32.55,Sess03_script01_F010,surprise,1.7,3.4,surprise,1,4,surprise,2,3,surprise,2,3,fear,1,5,surprise,1,4,surprise,1,1,surprise,2,3,fear,2,5,fear,3,4,surprise,2,2
25,180.32,188.776,0.1373718,-0.09037616,0.433409,0.410342,32.55,32.55,Sess03_script01_M015,fear;surprise,1.8,3.5,fear,2,3,surprise,2,4,surprise,2,4,fear,1,5,surprise,1,4,surprise,1,1,neutral,2,3,fear,2,5,fear,3,3,neutral,2,3
26,188.776,193.017,-0.09037616,0.7483146,0.410342,0.394964,32.55,32.55,Sess03_script01_F011,fear,1.6,3.5,fear,1,3,fear,2,4,fear,2,2,fear,1,5,fear,1,4,fear,1,1,neutral,2,4,fear,2,5,fear,2,4,fear,2,3
27,193.017,204.401,0.7483146,0.01446019,0.394964,0.403935,32.55,32.55,Sess03_script01_F012,fear,1.4,4,fear,1,4,fear,1,5,fear,2,4,fear,1,5,angry,1,5,fear,1,1,fear,2,4,fear,1,5,fear,2,4,fear,2,3
28,204.401,208.83,0.01446019,-0.05784074,0.403935,0.385994,32.55,32.55,Sess03_script01_M016,fear,1.5,3.8,sad,1,4,surprise,2,4,surprise,2,3,fear,1,5,sad,1,5,fear,1,1,neutral,2,4,fear,1,5,neutral,3,4,fear,1,3
29,208.83,222.178,-0.05784074,0.07591598,0.385994,0.364209,32.55,32.53,Sess03_script01_F013,angry;fear;surprise,1.4,4.1,fear,1,5,fear,2,4,surprise,2,4,fear,1,5,angry,1,5,angry,1,1,surprise,2,4,sad,1,5,surprise,2,4,angry,1,4
30,222.178,226.53,0.07591598,0.05061065,0.364209,0.369335,32.53,32.55,Sess03_script01_M017,surprise,1.6,3.5,fear,1,3,surprise,2,4,fear,2,2,surprise,1,5,fear,1,5,surprise,1,1,surprise,2,4,fear,1,5,surprise,3,3,surprise,2,3
31,226.53,228.683,0.05061065,-0.1301417,0.369335,0.352675,32.55,32.5,Sess03_script01_F014,fear,1.5,3.5,fear,1,2,surprise,1,5,fear,2,2,fear,1,5,surprise,2,5,fear,1,1,surprise,2,3,fear,1,5,fear,2,4,surprise,2,3
32,228.683,234.529,-0.1301417,0.003615046,0.352675,0.360364,32.5,32.5,Sess03_script01_M018,fear,1.7,3.4,surprise,1,3,surprise,2,4,fear,2,2,fear,1,5,fear,2,5,fear,1,1,neutral,2,3,fear,1,5,fear,3,3,fear,2,3
33,234.529,238.8,0.003615046,0.02169028,0.360364,0.36549,32.5,32.55,Sess03_script01_M019,fear,1.7,3.4,fear,1,3,surprise,2,4,fear,2,2,surprise,1,5,fear,2,5,fear,1,1,surprise,2,3,fear,1,5,neutral,3,3,fear,2,3
34,238.8,241.822,0.02169028,-0.03253542,0.36549,0.357801,32.55,32.55,Sess03_script01_F015,fear,1.7,3.3,fear,1,2,fear,2,4,fear,2,2,fear,1,5,fear,2,4,fear,1,1,surprise,2,4,fear,2,5,fear,3,4,fear,1,2
35,241.822,244.654,-0.03253542,-0.05061065,0.357801,0.368053,32.55,32.55,Sess03_script01_M020,fear,1.7,3.2,sad,1,2,fear,2,4,fear,2,2,fear,1,5,fear,2,4,fear,1,1,neutral,2,3,fear,1,5,neutral,3,3,fear,2,3
36,244.654,256.607,-0.05061065,0.6470934,0.368053,0.637165,32.55,32.53,Sess03_script01_M021,fear,1.5,3.3,fear,1,2,fear,1,4,fear,2,2,fear,1,5,fear,2,5,fear,1,1,neutral,2,3,fear,1,5,surprise,3,3,fear,1,3
37,256.607,258.319,0.6470934,-0.01084514,0.637165,0.643573,32.53,32.53,Sess03_script01_F016,fear,1.3,3.5,fear,1,2,fear,1,5,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,2,4,fear,1,5,fear,2,4,fear,1,2
38,258.319,278.475,-0.01084514,-0.0469956,0.643573,0.611535,32.53,32.57,Sess03_script01_M022,fear,1.4,3.1,fear,1,1,fear,2,4,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,5,fear,2,3,fear,1,2
39,278.475,280.949,-0.0469956,-0.1192965,0.611535,0.628195,32.57,32.57,Sess03_script01_M023,fear,1.5,3.4,fear,1,3,fear,2,4,surprise,2,3,fear,1,5,fear,1,5,fear,1,1,neutral,2,3,fear,1,5,neutral,3,3,fear,1,2
40,280.949,292.175,-0.1192965,0.007230093,0.628195,0.676891,32.57,32.57,Sess03_script01_M024,fear,1.4,3.6,fear,1,4,fear,1,4,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,2,4,fear,1,5,fear,3,4,fear,1,2
41,292.175,297.856,0.007230093,-0.1301417,0.676891,0.633321,32.57,32.57,Sess03_script01_F017,fear,1.4,3.7,fear,1,4,fear,1,5,fear,2,2,fear,1,5,sad,1,5,fear,1,1,fear,2,5,fear,2,5,fear,2,3,fear,1,2
42,297.856,304.157,-0.1301417,0.155447,0.633321,0.73584,32.57,32.59,Sess03_script01_M025,fear,1.4,3.3,fear,1,2,fear,1,4,fear,2,2,fear,1,5,sad,1,5,fear,1,1,fear,2,4,fear,2,5,fear,2,3,fear,1,2
43,304.157,315.135,0.155447,0.01807523,0.73584,0.708928,32.59,32.57,Sess03_script01_M026,fear,1.6,3.4,fear,1,2,fear,2,4,fear,2,2,fear,1,5,sad,1,5,fear,1,1,neutral,1,3,fear,2,5,fear,3,4,fear,2,3
44,315.135,321.856,0.01807523,-0.0469956,0.708928,0.67561,32.57,32.55,Sess03_script01_M027,fear,1.7,3.3,fear,1,2,sad,2,4,fear,2,2,fear,1,5,sad,1,5,fear,1,1,neutral,2,3,fear,2,5,fear,3,3,fear,2,3
45,321.856,331.821,-0.0469956,0.0542257,0.67561,0.676891,32.55,32.55,Sess03_script01_F018,surprise,1.4,4.2,fear,1,4,surprise,1,5,surprise,2,4,surprise,1,5,surprise,1,5,surprise,1,1,fear,2,5,fear,2,5,surprise,2,4,surprise,1,4
46,331.821,334.849,0.0542257,-0.06868588,0.676891,0.821699,32.55,32.55,Sess03_script01_M028,fear;surprise,1.6,4.1,fear,1,4,surprise,2,5,surprise,2,4,surprise,1,5,fear,1,5,surprise,1,1,fear,2,5,fear,2,5,surprise,3,4,fear,1,3
47,334.849,342.604,-0.06868588,0.01446019,0.821699,0.760188,32.55,32.53,Sess03_script01_F019,fear,1.3,4.1,fear,1,4,surprise,2,5,surprise,2,4,fear,1,5,fear,1,5,surprise,1,1,fear,1,5,fear,1,5,surprise,2,4,fear,1,3
48,342.604,348.366,0.01446019,-0.003615046,0.760188,0.731995,32.53,32.55,Sess03_script01_M029,fear,1.5,4.1,fear,1,5,fear,2,4,surprise,2,4,fear,1,5,fear,1,5,surprise,1,1,fear,2,5,fear,2,5,fear,2,4,fear,1,3
49,348.366,352.006,-0.003615046,0.3181241,0.731995,0.715336,32.55,32.53,Sess03_script01_F020,fear,1.3,4.2,fear,1,5,fear,2,5,surprise,2,4,fear,1,5,surprise,1,5,fear,1,1,fear,1,5,fear,1,5,surprise,2,4,fear,1,3
50,352.006,359.424,0.3181241,-0.1048364,0.715336,0.752499,32.53,32.55,Sess03_script01_M030,fear;surprise,1.5,3.9,surprise,1,4,surprise,2,4,surprise,2,4,surprise,1,5,fear,1,5,fear,1,1,fear,2,5,fear,1,5,surprise,3,3,fear,1,3
51,359.424,360.946,-0.1048364,-0.02169028,0.752499,0.734558,32.55,32.55,Sess03_script01_F021,surprise,1.3,4.5,surprise,1,5,angry,1,5,surprise,2,5,surprise,1,5,surprise,1,5,surprise,1,1,angry,2,5,surprise,1,5,surprise,2,5,surprise,1,4
52,360.946,362.827,-0.02169028,-0.007230093,0.734558,0.714054,32.55,32.53,Sess03_script01_M031,surprise,1.4,4.2,fear,1,5,surprise,2,4,surprise,2,4,fear,1,5,surprise,1,5,surprise,1,1,fear,2,5,fear,1,5,surprise,2,4,surprise,1,4
53,362.827,366.299,-0.007230093,0.05061065,0.714054,0.698676,32.53,32.5,Sess03_script01_F022,fear,1.4,4,fear,1,5,surprise,2,4,fear,2,4,fear,1,5,sad,1,5,fear,1,1,fear,2,4,fear,1,5,surprise,2,4,fear,1,3
54,366.299,369.45,0.05061065,-0.0469956,0.698676,0.690988,32.5,32.5,Sess03_script01_M032,fear,1.5,3.4,fear,1,3,fear,2,4,fear,2,2,fear,1,5,sad,1,5,fear,1,1,fear,2,4,fear,1,5,neutral,3,3,sad,1,2
55,5.194,8.741,-0.05784074,-0.07591598,0.478261,0.475698,32.41,32.41,Sess03_script02_F001,happy,4.2,3.2,happy,5,3,happy,4,3,happy,4,3,happy,4,3,happy,5,4,neutral,4,3,happy,4,3,happy,4,4,neutral,4,3,happy,4,3
56,8.741,14.81,-0.07591598,0.07591598,0.475698,0.469291,32.41,32.39,Sess03_script02_M001,happy,4.1,3.3,happy,5,3,happy,4,3,happy,4,3,happy,4,3,happy,5,4,happy,4,4,happy,3,3,happy,4,4,happy,4,3,happy,4,3
57,14.81,20.62,0.07591598,-0.01446019,0.469291,0.462883,32.39,32.34,Sess03_script02_F002,happy,3.9,3.3,happy,4,3,neutral,3,3,neutral,3,3,neutral,4,3,happy,5,4,happy,4,4,happy,4,3,happy,4,4,neutral,4,3,happy,4,3
58,20.62,25.203,-0.01446019,-0.03976551,0.462883,0.462883,32.34,32.33,Sess03_script02_M002,neutral,3.9,3.3,happy,4,4,neutral,4,3,neutral,3,3,neutral,4,3,happy,5,3,happy,4,4,surprise,4,3,happy,4,4,neutral,3,3,neutral,4,3
59,25.203,26.356,-0.03976551,-0.03253542,0.462883,0.456476,32.33,32.34,Sess03_script02_F003,happy,4,3.4,happy,4,4,happy,4,3,happy,3,3,neutral,4,3,happy,5,4,happy,4,4,happy,4,3,happy,4,4,neutral,4,3,neutral,4,3
60,26.356,34.145,-0.03253542,-0.09760625,0.456476,0.506454,32.34,32.31,Sess03_script02_M003,happy,3.8,3.3,happy,3,3,happy,4,3,neutral,3,3,neutral,4,3,happy,5,4,happy,4,4,happy,4,3,happy,4,4,neutral,3,3,neutral,4,3
61,34.145,36.783,-0.09760625,-0.06507084,0.506454,0.521831,32.31,32.31,Sess03_script02_F004,neutral,3.4,3.3,happy,3,4,neutral,3,3,neutral,3,3,neutral,3,3,happy,4,4,neutral,4,3,happy,4,3,happy,3,4,neutral,4,3,neutral,3,3
62,36.783,43.115,-0.06507084,0.01807523,0.521831,0.489794,32.31,32.31,Sess03_script02_M004,neutral,3.1,3.2,surprise,2,3,neutral,3,3,neutral,3,3,neutral,3,3,happy,4,4,neutral,3,3,happy,4,3,happy,3,4,neutral,3,3,neutral,3,3
63,43.115,50.291,0.01807523,-0.06507084,0.489794,0.479542,32.31,32.31,Sess03_script02_F005,neutral,3.1,3.2,sad,3,3,neutral,2,3,neutral,3,3,neutral,2,3,happy,4,4,neutral,4,3,happy,4,3,neutral,4,4,neutral,3,3,neutral,2,3
64,50.291,52.054,-0.06507084,-0.06145579,0.479542,0.468009,32.31,32.29,Sess03_script02_M005,neutral,3.2,3.2,neutral,3,3,neutral,2,3,neutral,3,3,neutral,2,3,happy,4,4,neutral,4,3,happy,4,3,neutral,4,4,neutral,3,3,neutral,3,3
65,52.054,54.744,-0.06145579,0.1301417,0.468009,0.470572,32.29,32.31,Sess03_script02_F006,angry,2.1,3.1,angry,2,3,angry,2,4,neutral,2,3,disgust,1,3,angry,4,3,angry,2,2,neutral,2,3,sad,2,4,neutral,2,3,angry,2,3
66,54.744,62.395,0.1301417,-0.06145579,0.470572,0.515424,32.31,32.31,Sess03_script02_M006,neutral,2.1,2.8,angry,2,2,angry,2,2,neutral,3,3,disgust,1,3,neutral,3,3,neutral,2,2,neutral,2,3,sad,2,4,neutral,2,3,neutral,2,3
67,62.395,65.86,-0.06145579,-0.01446019,0.515424,0.502609,32.31,32.31,Sess03_script02_M007,neutral,2.7,3,angry,2,2,neutral,3,3,neutral,3,3,neutral,3,3,happy,4,3,neutral,2,3,neutral,3,3,sad,2,4,neutral,3,3,neutral,2,3
68,65.86,66.999,-0.01446019,-0.1446019,0.502609,0.497483,32.31,32.29,Sess03_script02_F007,neutral,3.3,3.1,angry,3,3,neutral,4,3,neutral,3,3,neutral,3,3,happy,4,3,neutral,3,3,neutral,4,3,neutral,3,4,neutral,3,3,neutral,3,3
69,66.999,69.48,-0.1446019,1.066439,0.497483,0.489794,32.29,32.31,Sess03_script02_M008,neutral;happy,3.9,3.1,happy,4,3,happy,4,3,neutral,3,3,neutral,4,3,happy,4,3,neutral,4,3,happy,4,3,happy,4,4,neutral,4,3,neutral,4,3
70,69.48,75.961,1.066439,0.003615046,0.489794,0.51158,32.31,32.33,Sess03_script02_F008,happy,4.6,4.1,happy,4,5,happy,5,5,happy,4,4,happy,5,3,happy,5,4,neutral,4,4,happy,5,4,happy,5,4,happy,4,4,happy,5,4
71,75.961,81.645,0.003615046,-0.06868588,0.51158,0.571809,32.33,32.31,Sess03_script02_M009,happy,4.3,3.5,happy,5,3,happy,4,4,happy,4,3,neutral,5,3,happy,5,4,happy,4,4,happy,4,4,happy,4,4,happy,4,3,happy,4,3
72,81.645,86.199,-0.06868588,0.151832,0.571809,0.54618,32.31,32.29,Sess03_script02_F009,neutral;happy,4.1,3.3,happy,4,3,neutral,4,3,happy,4,3,neutral,5,3,happy,5,4,neutral,4,3,happy,4,3,happy,4,4,neutral,3,4,neutral,4,3
73,86.199,90.933,0.151832,-0.1373718,0.54618,0.537209,32.29,32.29,Sess03_script02_M010,neutral,3.6,3.1,happy,3,3,neutral,4,3,happy,3,3,neutral,3,3,happy,5,4,neutral,3,2,neutral,4,3,happy,4,4,neutral,4,3,neutral,3,3
74,90.933,94.483,-0.1373718,-0.05061065,0.537209,0.538491,32.29,32.31,Sess03_script02_M011,neutral,3.7,3.2,neutral,3,3,happy,3,3,neutral,3,3,neutral,3,3,happy,5,4,neutral,4,3,neutral,4,3,happy,4,4,neutral,4,3,neutral,4,3
75,94.483,98.583,-0.05061065,-0.1265266,0.538491,0.54618,32.31,32.29,Sess03_script02_F010,neutral,3.8,3.2,happy,4,3,angry,3,3,neutral,3,3,neutral,3,3,happy,5,4,neutral,4,3,neutral,4,3,happy,4,4,neutral,4,3,neutral,4,3
76,98.583,101.321,-0.1265266,-0.03615047,0.54618,0.647417,32.29,32.31,Sess03_script02_F011,neutral,2.7,3,sad,2,2,disgust,2,3,neutral,3,3,neutral,2,3,happy,4,4,neutral,2,3,neutral,4,3,disgust,3,4,neutral,3,2,neutral,2,3
77,101.321,108.851,-0.03615047,0.06507084,0.647417,0.890968,32.31,32.33,Sess03_script02_M012,neutral,2.9,3.1,surprise,2,2,neutral,3,3,neutral,3,3,neutral,2,3,happy,4,4,neutral,4,3,neutral,2,3,disgust,3,4,neutral,3,3,neutral,3,3
78,108.851,123.696,0.06507084,0.07591598,0.890968,0.794857,32.33,32.34,Sess03_script02_M013,happy,3.9,3.4,happy,4,3,surprise,4,3,happy,3,3,happy,4,3,happy,4,4,surprise,4,4,happy,4,4,happy,4,4,happy,4,3,neutral,4,3
79,123.696,125.289,0.07591598,-0.03976551,0.794857,0.78845,32.34,32.33,Sess03_script02_F012,happy,4.2,3.5,happy,4,3,happy,4,4,happy,4,3,happy,5,3,happy,5,4,happy,4,4,happy,4,4,happy,4,4,happy,4,3,neutral,4,3
80,125.289,131.325,-0.03976551,-0.1229116,0.78845,0.741035,32.33,32.33,Sess03_script02_M014,neutral;happy,3.8,3.4,neutral,4,3,happy,3,3,happy,3,3,happy,5,3,happy,5,4,neutral,4,4,happy,4,4,neutral,2,4,neutral,4,3,neutral,4,3
81,131.325,135.338,-0.1229116,-0.04338056,0.741035,0.734627,32.33,32.34,Sess03_script02_F013,angry,3,3.2,angry,4,3,angry,3,3,neutral,2,3,neutral,4,3,happy,4,4,neutral,2,3,angry,2,3,angry,4,4,neutral,3,3,angry,2,3
82,135.338,138.862,-0.04338056,-0.0469956,0.734627,0.730783,32.34,32.34,Sess03_script02_M015,surprise,2.7,3.1,neutral,3,3,surprise,3,3,surprise,3,3,surprise,2,3,happy,4,4,surprise,2,2,surprise,2,3,angry,2,4,neutral,3,3,neutral,3,3
83,138.862,141.019,-0.0469956,0.1662921,0.730783,0.724375,32.34,32.37,Sess03_script02_F014,angry,2.2,3.5,angry,2,4,angry,2,3,angry,3,4,disgust,2,3,happy,4,4,angry,2,2,surprise,2,4,angry,2,4,neutral,2,4,angry,1,3
84,141.019,143.851,0.1662921,0.01084514,0.724375,0.716686,32.37,32.37,Sess03_script02_F015,angry,2.3,3.3,angry,2,4,angry,2,2,angry,3,4,disgust,2,3,happy,4,4,angry,2,2,angry,2,3,disgust,2,4,neutral,2,3,angry,2,4
85,143.851,145.958,0.01084514,-0.09760625,0.716686,0.71156,32.37,32.39,Sess03_script02_M016,neutral,2.5,3.1,neutral,2,3,neutral,3,3,angry,3,3,disgust,2,3,happy,4,4,angry,2,2,neutral,2,3,disgust,2,4,neutral,3,3,angry,2,3
86,145.958,155.291,-0.09760625,-0.05061065,0.71156,0.705153,32.39,32.37,Sess03_script02_F016,neutral;disgust,2.4,3,disgust,3,3,sad,2,2,neutral,3,3,disgust,2,3,happy,4,4,angry,2,2,neutral,2,3,disgust,2,4,neutral,2,3,angry,2,3
87,155.291,158.615,-0.05061065,-0.06145579,0.705153,0.761538,32.37,32.39,Sess03_script02_M017,neutral,2.4,2.8,neutral,3,3,sad,2,2,neutral,3,3,disgust,2,3,happy,4,3,angry,2,2,neutral,2,3,disgust,2,4,neutral,2,3,neutral,2,2
88,158.615,159.846,-0.06145579,-0.07591598,0.761538,0.865339,32.39,32.39,Sess03_script02_F017,sad,2.2,2.6,sad,2,2,sad,1,2,neutral,3,3,disgust,2,3,neutral,4,3,angry,2,2,sad,2,2,sad,2,4,neutral,2,3,angry,2,2
89,159.846,169.228,-0.07591598,0.1409868,0.865339,1.11651,32.39,32.39,Sess03_script02_M018,neutral,2.6,2.7,sad,2,2,surprise,3,2,neutral,3,3,disgust,2,3,neutral,4,3,neutral,2,2,sad,2,2,sad,2,4,neutral,3,3,neutral,3,3
90,169.228,170.893,0.1409868,-0.1699072,1.11651,1.347177,32.39,32.37,Sess03_script02_F018,neutral,2.8,2.9,surprise,2,2,angry,3,3,neutral,3,3,neutral,3,3,happy,4,3,neutral,2,2,neutral,2,3,neutral,3,4,neutral,3,3,neutral,3,3
91,170.893,173.994,-0.1699072,-0.155447,1.347177,1.101132,32.37,32.37,Sess03_script02_M019,neutral,2.9,3.1,surprise,2,3,neutral,3,3,neutral,3,3,neutral,4,3,happy,4,3,neutral,2,2,neutral,2,3,neutral,3,4,neutral,3,4,neutral,3,3
92,173.994,177.022,-0.155447,0.8929165,1.101132,1.072939,32.37,32.37,Sess03_script02_F019,surprise,3.2,3.4,surprise,3,4,disgust,2,3,surprise,3,4,surprise,3,3,happy,4,4,surprise,2,2,surprise,3,4,happy,4,4,surprise,4,3,surprise,4,3
93,177.022,183.885,0.8929165,0.007230093,1.072939,1.190935,32.37,32.37,Sess03_script02_F020,surprise,3.1,3.4,surprise,3,4,disgust,3,3,surprise,3,4,surprise,3,3,happy,4,4,neutral,2,2,surprise,3,4,disgust,4,4,surprise,3,3,surprise,3,3
94,183.885,185.9,0.007230093,0.02169028,1.190935,1.148646,32.37,32.37,Sess03_script02_M020,neutral,3.1,3.1,neutral,3,3,neutral,3,3,neutral,3,3,surprise,3,3,happy,4,4,neutral,2,2,surprise,3,3,neutral,4,4,neutral,3,3,neutral,3,3
95,185.9,194.756,0.02169028,-0.1229116,1.148646,1.193498,32.37,32.41,Sess03_script02_F021,surprise,3.3,3.3,surprise,3,4,surprise,3,3,surprise,3,4,surprise,3,3,happy,4,4,surprise,3,2,surprise,3,3,happy,4,4,surprise,4,3,surprise,3,3
96,194.756,211.297,-0.1229116,-0.07953102,1.193498,1.34215,32.41,32.39,Sess03_script02_M021,happy,3.1,3.3,happy,3,3,happy,2,3,happy,3,3,happy,2,3,happy,4,4,neutral,3,4,neutral,3,3,happy,4,4,happy,4,3,neutral,3,3
97,211.297,217.752,-0.07953102,-0.151832,1.34215,1.46261,32.39,32.47,Sess03_script02_F022,happy,3.9,4.1,happy,3,4,happy,4,4,happy,4,4,happy,3,4,happy,5,5,neutral,4,4,surprise,4,4,happy,4,4,happy,4,4,happy,4,4
98,217.752,222.698,-0.151832,-0.1120664,1.46261,1.463892,32.47,32.47,Sess03_script02_M022,happy,3.8,3.8,happy,3,4,happy,3,4,happy,4,3,happy,3,4,happy,5,5,neutral,4,4,happy,4,4,happy,4,4,happy,4,3,happy,4,3
