Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
39,273.067,275.382,-0.1482169,-0.3976551,0.887268,0.878308,30.91,30.91,Sess01_script01_M023,fear,1.4,2.8,fear,2,3,fear,1,2,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,1,neutral,2,4,fear,1,2
40,275.382,285.074,-0.3976551,-0.02169028,0.878308,0.900067,30.91,30.93,Sess01_script01_M024,fear,1.4,3.1,fear,2,3,fear,1,2,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,4,fear,2,4,fear,1,2
41,285.074,290.641,-0.02169028,0.0469956,0.900067,0.871908,30.93,30.99,Sess01_script01_F017,fear,1.4,3.2,fear,2,4,fear,1,2,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,4,fear,2,4,sad,1,2
42,290.641,305.275,0.0469956,0.05061065,0.871908,0.761833,30.99,31.03,Sess01_script01_M025,fear,1.4,3.1,fear,2,3,fear,1,2,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,4,neutral,2,4,fear,1,2
43,305.275,338.113,0.05061065,0.2169028,0.761833,0.618479,31.03,31.07,Sess01_script01_M026,fear,1.3,3.1,fear,2,3,fear,1,2,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,1,3,fear,1,4,fear,2,4,fear,1,2
44,338.113,343.249,0.2169028,0.03253542,0.618479,0.6172,31.07,31.07,Sess01_script01_M027,fear,1.4,3.1,fear,2,3,fear,1,2,fear,2,2,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,4,fear,2,4,fear,1,2
45,343.249,357.28,0.03253542,0.02169028,0.6172,0.555762,31.07,31.07,Sess01_script01_F018,surprise,1.4,4.2,fear,2,5,surprise,1,5,surprise,2,4,surprise,1,5,surprise,1,5,surprise,1,1,surprise,2,4,surprise,1,4,surprise,2,5,surprise,1,4
46,357.28,359.705,0.02169028,-0.09037616,0.555762,0.541683,31.07,31.09,Sess01_script01_M028,surprise,1.4,4.2,fear,1,5,surprise,1,5,surprise,2,4,fear,1,5,surprise,1,5,surprise,1,1,surprise,3,4,surprise,1,5,surprise,2,4,surprise,1,4
47,359.705,367.835,-0.09037616,0.05061065,0.541683,0.504565,31.09,31.09,Sess01_script01_F019,surprise,1.4,4.3,fear,2,4,surprise,1,5,surprise,2,4,fear,1,5,surprise,1,5,surprise,1,1,surprise,2,5,surprise,1,5,surprise,2,5,surprise,1,4
48,367.835,373.274,0.05061065,0.07591598,0.504565,0.487925,31.09,31.09,Sess01_script01_M029,surprise,1.4,4.2,fear,2,4,fear,1,5,surprise,2,4,fear,1,5,surprise,1,5,surprise,1,1,surprise,2,5,surprise,1,5,surprise,2,4,surprise,1,4
49,373.274,375.461,0.07591598,0.2530532,0.487925,0.481526,31.09,31.11,Sess01_script01_F020,fear,1.3,4.3,fear,1,5,fear,1,5,fear,2,4,fear,1,5,fear,1,5,fear,1,1,fear,2,5,fear,1,5,surprise,2,4,fear,1,4
50,375.461,388.084,0.2530532,0.02530533,0.481526,0.454647,31.11,31.09,Sess01_script01_M030,fear,1.3,4.1,fear,1,5,fear,1,5,fear,2,4,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,5,surprise,2,4,fear,1,4
51,388.084,391.343,0.02530533,-0.3759648,0.454647,0.444407,31.09,31.09,Sess01_script01_F021,fear,1.3,4.2,fear,1,5,fear,1,5,surprise,2,4,surprise,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,5,surprise,2,5,surprise,1,4
52,391.343,393.611,-0.3759648,-0.4301905,0.444407,0.509684,31.09,31.09,Sess01_script01_M031,fear,1.4,4,fear,2,4,fear,1,5,surprise,2,4,fear,1,5,fear,1,5,fear,1,1,fear,2,3,fear,1,5,surprise,2,4,fear,1,4
53,393.611,397.474,-0.4301905,1.785833,0.509684,0.522484,31.09,31.09,Sess01_script01_F022,fear,1.3,4.3,fear,1,5,sad,1,5,fear,2,4,fear,1,5,sad,1,5,fear,1,1,fear,2,5,fear,1,5,surprise,2,4,fear,1,4
54,397.474,400.15,1.785833,-0.1843674,0.522484,0.523764,31.09,31.05,Sess01_script01_M032,fear,1.4,4.1,fear,2,4,fear,1,5,fear,2,4,fear,1,5,sad,1,5,fear,1,1,fear,2,5,fear,1,5,surprise,2,4,fear,1,3
55,5.153,10.021,0.01084514,-0.01084514,0.517433,0.516153,30.69,30.67,Sess01_script02_F001,neutral,3.9,3.1,neutral,4,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,4,neutral,4,3,happy,5,3,neutral,4,3,neutral,3,3,neutral,4,3
56,10.021,15.006,-0.01084514,-0.09760625,0.516153,0.499514,30.67,30.69,Sess01_script02_M001,neutral,3.9,3.1,happy,4,3,happy,4,3,neutral,3,3,neutral,3,3,happy,5,4,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3
57,15.006,19.583,-0.09760625,0.02892037,0.499514,0.562162,30.69,30.69,Sess01_script02_F002,neutral,3.8,3.1,neutral,3,3,happy,4,3,neutral,4,3,neutral,3,3,happy,4,4,happy,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3
58,19.583,23.913,0.02892037,-0.1373718,0.562162,0.555762,30.69,30.73,Sess01_script02_M002,neutral,3.2,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,2,3,neutral,4,3,neutral,3,3,neutral,3,3
59,23.913,26.176,-0.1373718,0.003615046,0.555762,0.554482,30.73,30.71,Sess01_script02_F003,neutral,3.5,3.1,neutral,3,4,angry,4,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,4,3
60,26.176,39.881,0.003615046,-0.151832,0.554482,0.521204,30.71,30.73,Sess01_script02_M003,neutral,3.3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,4,3
61,39.881,42.774,-0.151832,0.03253542,0.521204,0.513524,30.73,30.71,Sess01_script02_F004,neutral,3,3.1,neutral,2,4,angry,3,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3
62,42.774,49.573,0.03253542,-0.007230093,0.513524,0.495605,30.71,30.73,Sess01_script02_M004,neutral,2.9,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,2,3
63,49.573,55.722,-0.007230093,0.03615047,0.495605,0.480246,30.73,30.73,Sess01_script02_F005,neutral,2.5,3,neutral,2,3,angry,3,3,neutral,3,3,neutral,3,3,neutral,2,3,neutral,2,3,neutral,3,3,neutral,2,3,neutral,3,3,neutral,2,3
64,55.722,57.571,0.03615047,0.06145579,0.480246,0.476406,30.73,30.75,Sess01_script02_M005,neutral,2.6,3,neutral,3,3,angry,3,3,neutral,3,3,neutral,3,3,neutral,2,3,neutral,2,3,neutral,3,3,neutral,2,3,neutral,3,3,neutral,2,3
65,57.571,60.733,0.06145579,-0.07953102,0.476406,0.461046,30.75,30.73,Sess01_script02_F006,neutral,2,2.8,angry,2,2,angry,2,3,neutral,2,3,neutral,2,3,angry,2,3,neutral,2,3,neutral,2,3,neutral,2,3,neutral,2,2,angry,2,3
66,60.733,67.854,-0.07953102,1.626771,0.461046,0.448247,30.73,30.73,Sess01_script02_M006,neutral,2.1,3,neutral,3,3,angry,2,3,neutral,2,3,neutral,2,3,angry,2,3,neutral,2,3,neutral,2,3,neutral,2,3,neutral,2,3,neutral,2,3
67,67.854,70.216,1.626771,0.003615046,0.448247,0.446967,30.73,30.75,Sess01_script02_M007,neutral,3.9,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3
68,70.216,72.122,0.003615046,-0.3036639,0.446967,0.440567,30.75,30.75,Sess01_script02_F007,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3,neutral,4,3
69,72.122,74.041,-0.3036639,-0.1988275,0.440567,0.436727,30.75,30.75,Sess01_script02_M008,neutral,3.8,3,neutral,3,3,happy,4,3,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3
70,74.041,80.115,-0.1988275,-0.1915975,0.436727,0.421368,30.75,30.75,Sess01_script02_F008,happy,4.5,3.6,happy,4,4,happy,5,4,neutral,4,3,happy,5,3,happy,5,4,happy,4,4,happy,5,4,happy,4,4,neutral,4,3,neutral,5,3
71,80.115,85.516,-0.1915975,-0.01446019,0.421368,0.397049,30.75,30.75,Sess01_script02_M009,neutral,4.1,3.2,neutral,4,3,happy,4,3,neutral,4,3,neutral,4,3,happy,5,4,neutral,4,3,neutral,3,3,neutral,4,4,neutral,4,3,neutral,5,3
72,85.516,90.071,-0.01446019,-0.1879824,0.397049,0.400889,30.75,30.77,Sess01_script02_F009,neutral,3.9,3.2,neutral,4,4,happy,4,3,neutral,4,3,neutral,3,3,happy,5,4,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,4,3
73,90.071,98.259,-0.1879824,-0.003615046,0.400889,0.402169,30.77,30.75,Sess01_script02_M010,neutral,3.4,3,neutral,3,3,happy,4,3,neutral,3,3,neutral,3,3,happy,4,3,neutral,4,3,neutral,3,3,happy,4,3,neutral,3,3,neutral,3,3
74,98.259,100.871,-0.003615046,-0.2060577,0.402169,0.498165,30.75,30.75,Sess01_script02_M011,neutral,3.3,3,neutral,3,3,happy,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,3,3,happy,4,3,neutral,3,3,neutral,3,3
75,100.871,109.086,-0.2060577,-0.1662921,0.498165,0.478966,30.75,30.75,Sess01_script02_F010,neutral,2.8,3,neutral,2,3,disgust,4,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,2,3,neutral,2,3,happy,2,3,neutral,4,3,neutral,2,3
76,109.086,117.166,-0.1662921,0.06507084,0.478966,0.461046,30.75,30.75,Sess01_script02_M012,neutral,2.9,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,2,3,neutral,2,3,happy,2,3,neutral,3,3,neutral,2,3
77,117.166,140.458,0.06507084,0.4952614,0.461046,0.425208,30.75,30.75,Sess01_script02_M013,neutral,4,3.2,neutral,4,3,happy,4,3,neutral,4,3,neutral,3,3,happy,5,3,neutral,4,4,neutral,4,3,neutral,4,4,neutral,4,3,neutral,4,3
78,140.458,142.565,0.4952614,-0.1337567,0.425208,0.423928,30.75,30.79,Sess01_script02_F011,neutral;happy,4.2,3.6,neutral,3,4,happy,4,3,neutral,4,4,happy,5,3,happy,5,4,neutral,4,4,happy,4,4,happy,4,4,neutral,4,3,neutral,5,3
79,142.565,150.823,-0.1337567,0,0.423928,0.560882,30.79,30.79,Sess01_script02_M014,neutral,3.9,3.2,neutral,4,3,neutral,4,3,neutral,3,3,neutral,4,3,happy,5,4,neutral,4,3,happy,4,4,happy,4,3,neutral,4,3,neutral,3,3
80,150.823,155.105,0,-0.1265266,0.560882,0.549363,30.79,30.79,Sess01_script02_F012,neutral,4,3.4,neutral,4,4,happy,4,4,neutral,4,4,neutral,4,3,happy,4,3,neutral,4,3,happy,4,4,happy,4,3,neutral,4,3,neutral,4,3
81,155.105,158.657,-0.1265266,-0.307279,0.549363,0.525044,30.79,30.79,Sess01_script02_M015,neutral;happy,3,3.1,angry,3,2,happy,4,4,neutral,3,3,surprise,2,3,angry,4,3,sad,2,3,happy,4,4,happy,2,3,neutral,3,3,neutral,3,3
82,158.657,160.732,-0.307279,-0.1337567,0.525044,0.517364,30.79,30.79,Sess01_script02_F013,angry,2,3,angry,2,3,angry,3,3,neutral,2,3,surprise,2,3,angry,2,3,sad,2,3,neutral,1,3,sad,2,3,neutral,2,3,angry,2,3
83,160.732,164.606,-0.1337567,-0.07230093,0.517364,0.510964,30.79,30.77,Sess01_script02_F014,angry,2.1,2.6,angry,2,2,angry,2,3,neutral,2,3,angry,2,3,angry,2,3,sad,2,2,neutral,2,3,disgust,2,2,neutral,3,2,angry,2,3
84,164.606,166.501,-0.07230093,-0.09399121,0.510964,0.505844,30.77,30.77,Sess01_script02_M016,angry,2.3,2.6,surprise,3,2,angry,3,3,neutral,2,3,angry,2,3,angry,2,3,sad,2,2,neutral,2,3,disgust,2,2,neutral,3,2,angry,2,3
85,166.501,174.167,-0.09399121,-0.03976551,0.505844,0.487925,30.77,30.77,Sess01_script02_F015,neutral,1.8,2.9,neutral,2,4,angry,2,3,neutral,2,3,neutral,2,3,angry,2,4,sad,1,2,neutral,2,3,disgust,1,2,neutral,2,2,angry,2,3
86,174.167,179.484,-0.03976551,-0.2024426,0.487925,0.478966,30.77,30.73,Sess01_script02_F016,neutral,1.7,3,neutral,1,4,angry,2,3,neutral,2,3,disgust,2,3,angry,2,4,sad,1,2,neutral,2,3,disgust,1,2,neutral,2,3,angry,2,3
87,179.484,186.55,-0.2024426,0.08314607,0.478966,0.471286,30.73,30.73,Sess01_script02_M017,neutral,2.2,2.7,angry,2,2,angry,2,3,neutral,3,3,disgust,2,3,neutral,2,3,neutral,2,2,neutral,2,3,neutral,2,2,neutral,3,3,neutral,2,3
88,186.55,189.777,0.08314607,-0.003615046,0.471286,0.480246,30.73,30.73,Sess01_script02_F017,neutral,2,2.6,angry,2,2,angry,2,2,neutral,2,3,neutral,2,3,neutral,2,3,sad,2,2,neutral,2,3,sad,2,2,neutral,2,3,neutral,2,3
89,189.777,198.895,-0.003615046,-0.1626771,0.480246,0.503285,30.73,30.75,Sess01_script02_M018,neutral,2.4,2.9,angry,3,2,surprise,3,3,neutral,2,3,neutral,2,3,neutral,2,3,sad,2,3,neutral,3,3,sad,2,3,neutral,3,3,neutral,2,3
90,198.895,201.219,-0.1626771,1.59785,0.503285,0.496885,30.75,30.75,Sess01_script02_F018,neutral,3.1,3,neutral,3,3,surprise,4,3,neutral,3,3,surprise,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3
91,201.219,205.661,1.59785,-0.02892037,0.496885,0.468726,30.75,30.75,Sess01_script02_M019,neutral,3.3,3,neutral,4,3,surprise,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,3,3
92,205.661,210.341,-0.02892037,-0.2060577,0.468726,0.461046,30.75,30.75,Sess01_script02_F019,surprise,3.7,2.9,surprise,4,2,surprise,3,3,surprise,4,3,surprise,3,3,surprise,4,3,neutral,4,3,neutral,4,3,surprise,4,3,surprise,4,3,neutral,3,3
93,210.341,213.986,-0.2060577,0,0.461046,0.467446,30.75,30.75,Sess01_script02_F020,neutral;surprise,3.1,3,surprise,3,3,surprise,3,3,neutral,3,3,neutral,3,3,surprise,3,3,neutral,3,3,surprise,4,3,surprise,3,3,neutral,3,3,neutral,3,3
94,213.986,216.617,0,0.1265266,0.467446,1.043421,30.75,30.73,Sess01_script02_M020,neutral,3.5,3,neutral,4,3,surprise,4,3,neutral,4,3,surprise,3,3,surprise,3,3,neutral,3,3,neutral,4,3,surprise,3,3,neutral,4,3,neutral,3,3
95,216.617,223.896,0.1265266,0.09760625,1.043421,1.346837,30.73,30.71,Sess01_script02_F021,neutral,3.3,2.9,surprise,3,2,surprise,3,3,neutral,3,3,surprise,3,3,neutral,4,3,neutral,3,3,neutral,4,3,surprise,3,3,neutral,4,3,neutral,3,3
96,223.896,245.09,0.09760625,1.258036,1.346837,1.138206,30.71,30.69,Sess01_script02_M021,neutral,3.7,3,happy,4,3,happy,3,3,neutral,4,3,neutral,4,3,happy,4,3,neutral,4,3,neutral,3,3,neutral,4,3,neutral,4,3,neutral,3,3
97,245.09,251.294,1.258036,-0.1301417,1.138206,1.129246,30.69,30.69,Sess01_script02_F022,happy,4.5,4,happy,5,5,happy,4,5,happy,4,4,happy,5,3,happy,5,4,happy,4,4,happy,5,4,happy,4,4,neutral,5,3,neutral,4,4
98,251.294,257.514,-0.1301417,-0.1879824,1.129246,1.194523,30.69,30.67,Sess01_script02_M022,happy,4.4,3.8,happy,5,4,happy,4,4,happy,4,3,happy,5,3,happy,5,5,happy,4,4,happy,5,4,happy,4,4,neutral,4,3,neutral,4,4
