Numb,Wav,,ECG,,E4-EDA,,E4-TEMP,,Segment ID,Total Evaluation,,,Eval01F,,,Eval02M,,,Eval03F,,,Eval04F,,,Eval05M,,,Eval06M,,,Eval07M,,,Eval08F,,,Eval09M,,,Eval10F,,
10,58.493,59.715,-0.03615047,0,0.131858,0.130578,31.25,31.23,Sess02_script01_M005,neutral,2.6,2.9,neutral,3,3,angry,2,4,neutral,3,3,neutral,2,2,neutral,3,3,neutral,2,2,neutral,3,3,neutral,2,3,neutral,3,3,neutral,3,3
11,59.715,62.257,0,-0.007230093,0.130578,0.130578,31.23,31.23,Sess02_script01_F006,angry,2,3.2,angry,2,2,angry,2,4,angry,2,3,disgust,2,2,neutral,2,3,angry,2,2,angry,2,4,angry,2,4,angry,2,4,angry,2,4
12,62.257,68.991,-0.007230093,-0.06507084,0.130578,0.129298,31.23,31.21,Sess02_script01_M006,angry,2.3,3,angry,2,3,angry,2,4,neutral,3,3,disgust,2,2,neutral,3,3,angry,2,2,neutral,3,3,angry,2,4,neutral,2,4,angry,2,2
13,68.991,71.303,-0.06507084,-0.05061065,0.129298,0.135699,31.21,31.19,Sess02_script01_M007,happy,3.6,3.1,happy,2,3,happy,3,3,happy,4,3,neutral,3,3,happy,4,3,happy,4,3,happy,4,3,happy,4,4,neutral,4,3,happy,4,3
14,71.303,73.533,-0.05061065,0,0.135699,0.136979,31.19,31.23,Sess02_script01_F007,happy,3.9,3.7,happy,3,4,happy,4,4,happy,4,4,neutral,4,3,happy,4,4,happy,4,4,happy,4,3,happy,4,4,happy,4,3,happy,4,4
15,73.533,74.634,0,-0.06145579,0.136979,0.134418,31.23,31.19,Sess02_script01_M008,happy,3.9,3.5,happy,3,3,happy,4,4,happy,4,4,neutral,4,3,happy,4,4,happy,4,4,happy,4,3,happy,4,4,neutral,4,3,happy,4,3
16,74.634,81.206,-0.06145579,-0.03253542,0.134418,0.135699,31.19,31.19,Sess02_script01_F008,happy,4,3.8,happy,3,5,happy,5,4,happy,4,4,neutral,4,3,happy,3,4,happy,5,4,happy,4,3,happy,4,4,neutral,4,4,happy,4,3
17,81.206,85.85,-0.03253542,0.02892037,0.135699,0.135699,31.19,31.17,Sess02_script01_M009,neutral;surprise,3.1,3.3,angry,2,2,surprise,3,4,neutral,4,3,surprise,2,4,happy,3,4,neutral,3,3,neutral,3,3,surprise,4,4,surprise,4,3,neutral,3,3
18,85.85,89.52,0.02892037,-0.01084514,0.135699,0.131858,31.17,31.17,Sess02_script01_F009,happy,3.4,3.6,happy,2,4,happy,4,4,neutral,4,4,angry,2,4,happy,4,4,neutral,3,2,happy,4,3,surprise,4,4,happy,4,3,angry,3,4
19,89.52,96.712,-0.01084514,-0.05061065,0.131858,0.135699,31.17,31.13,Sess02_script01_M010,sad,2.2,2.8,angry,2,2,sad,2,3,neutral,3,3,sad,2,3,neutral,3,3,sad,2,2,sad,2,3,sad,2,4,neutral,3,3,angry,1,2
20,96.712,100.575,-0.05061065,-0.02169028,0.135699,0.140819,31.13,31.15,Sess02_script01_M011,sad,2.2,2.6,disgust,2,2,sad,2,2,neutral,3,3,sad,2,3,neutral,3,3,sad,2,2,sad,2,3,sad,2,3,neutral,3,3,angry,1,2
21,100.575,103.627,-0.02169028,0.003615046,0.140819,0.138259,31.15,31.15,Sess02_script01_F010,neutral,2.2,2.9,angry,2,3,disgust,2,3,neutral,2,3,disgust,2,3,neutral,2,3,angry,2,2,neutral,3,3,neutral,2,3,neutral,3,3,angry,2,3
22,103.627,107.087,0.003615046,-0.08314607,0.138259,0.139539,31.15,31.17,Sess02_script01_F011,disgust,1.9,2.9,disgust,2,3,disgust,2,3,neutral,2,3,disgust,1,3,neutral,3,3,angry,2,2,disgust,2,3,disgust,2,3,neutral,2,3,angry,1,3
23,107.087,115.041,-0.08314607,0,0.139539,0.139539,31.17,31.17,Sess02_script01_M012,neutral,2.2,2.5,disgust,2,2,sad,2,2,neutral,2,2,neutral,2,3,neutral,3,3,angry,2,2,neutral,3,3,neutral,2,3,neutral,2,3,angry,2,2
24,115.041,137.299,0,-0.0542257,0.139539,0.154901,31.17,31.09,Sess02_script01_M013,neutral,3.1,2.7,surprise,3,2,neutral,3,2,neutral,3,3,neutral,4,3,neutral,3,3,surprise,3,2,neutral,4,3,neutral,3,3,surprise,3,3,neutral,2,3
25,137.299,139.246,-0.0542257,-0.05061065,0.154901,0.151061,31.09,31.09,Sess02_script01_F012,happy,3.9,3.2,happy,4,3,happy,4,4,happy,3,3,happy,4,3,neutral,4,3,happy,4,4,happy,4,3,happy,4,3,happy,4,3,happy,4,3
26,139.246,146.37,-0.05061065,-0.03615047,0.151061,0.153621,31.09,31.09,Sess02_script01_M014,neutral,3.6,2.8,neutral,4,3,happy,4,3,happy,4,3,neutral,3,2,neutral,3,3,neutral,3,2,neutral,3,3,happy,4,3,neutral,4,3,neutral,4,3
27,146.37,148.794,-0.03615047,0.03615047,0.153621,0.151061,31.09,31.09,Sess02_script01_F013,neutral,3,3.1,happy,4,3,neutral,2,4,neutral,2,3,neutral,3,3,neutral,3,3,neutral,4,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3
28,148.794,155.475,0.03615047,-0.02892037,0.151061,0.14722,31.09,31.05,Sess02_script01_M015,neutral,2.7,3,neutral,2,3,neutral,3,2,neutral,3,3,angry,1,4,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3
29,155.475,157.893,-0.02892037,0.003615046,0.14722,0.14978,31.05,31.03,Sess02_script01_F014,neutral;angry,2.1,2.7,sad,2,2,angry,2,2,neutral,3,3,angry,1,4,neutral,2,3,angry,2,2,sad,2,3,neutral,2,3,neutral,3,3,angry,2,2
30,157.893,161.07,0.003615046,-0.01084514,0.14978,0.14978,31.03,31.05,Sess02_script01_F015,angry,2,3.7,angry,2,4,angry,2,4,angry,2,4,angry,1,4,neutral,3,3,angry,2,2,angry,2,4,angry,2,4,neutral,2,4,angry,2,4
31,161.07,162.904,-0.01084514,-0.007230093,0.14978,0.14466,31.05,31.01,Sess02_script01_M016,angry,2.3,3.3,surprise,3,4,angry,2,4,neutral,3,3,angry,1,4,neutral,3,3,angry,2,2,neutral,2,3,angry,2,4,neutral,3,3,angry,2,3
32,162.904,170.982,-0.007230093,0.003615046,0.14466,0.14978,31.01,30.97,Sess02_script01_F016,angry,1.8,3.5,neutral,3,4,sad,2,4,angry,2,4,angry,1,4,angry,2,4,sad,1,1,angry,2,3,disgust,2,4,neutral,2,3,angry,1,4
33,170.982,176.39,0.003615046,-0.06868588,0.14978,0.14594,30.97,30.99,Sess02_script01_M017,neutral,2.2,2.7,neutral,2,2,sad,2,1,neutral,3,3,angry,1,4,neutral,2,3,sad,2,1,neutral,3,3,sad,2,4,neutral,3,3,angry,2,3
34,176.39,177.939,-0.06868588,-0.03976551,0.14594,0.14466,30.99,30.97,Sess02_script01_F017,sad,1.6,2.5,sad,2,3,sad,1,1,sad,2,2,angry,1,3,sad,2,2,sad,1,1,sad,1,3,sad,2,4,neutral,2,3,angry,2,3
35,177.939,185.321,-0.03976551,-0.01446019,0.14466,0.14466,30.97,30.95,Sess02_script01_M018,sad,2.3,2.8,disgust,3,3,sad,2,2,surprise,3,3,surprise,3,3,sad,2,3,sad,1,1,neutral,2,3,sad,2,4,neutral,3,3,angry,2,3
36,185.321,186.857,-0.01446019,0.05061065,0.14466,0.151061,30.95,30.93,Sess02_script01_F018,happy,3.8,3.2,happy,4,2,surprise,3,3,happy,4,3,happy,5,4,happy,4,3,surprise,2,4,surprise,4,3,happy,4,4,neutral,4,3,happy,4,3
37,186.857,189.099,0.05061065,-0.06145579,0.151061,0.152341,30.93,30.93,Sess02_script01_M019,happy,3.8,3.3,neutral,4,3,happy,3,3,happy,3,3,happy,5,4,happy,4,3,neutral,3,3,surprise,4,4,happy,4,4,neutral,4,3,happy,4,3
38,189.099,193.367,-0.06145579,-0.01446019,0.152341,0.161302,30.93,30.95,Sess02_script01_F019,disgust,2.1,3.2,disgust,2,4,disgust,2,4,neutral,2,2,surprise,2,3,disgust,2,3,surprise,2,3,disgust,2,3,disgust,2,4,surprise,3,3,angry,2,3
39,193.367,197.845,-0.01446019,-0.01446019,0.161302,0.165143,30.95,30.93,Sess02_script01_F020,surprise,2.7,4.1,surprise,3,4,surprise,2,5,surprise,3,4,surprise,2,4,surprise,3,4,surprise,3,4,disgust,3,4,surprise,3,4,surprise,3,4,surprise,2,4
40,197.845,202.519,-0.01446019,-0.01084514,0.165143,0.162582,30.93,30.93,Sess02_script01_M020,surprise,2.8,3.5,surprise,3,3,surprise,3,4,surprise,2,3,surprise,2,4,surprise,3,3,surprise,3,3,surprise,3,4,surprise,3,4,surprise,3,3,surprise,3,4
41,202.519,206.281,-0.01084514,0,0.162582,0.160022,30.93,30.95,Sess02_script01_F021,surprise,2.9,3.1,happy,2,3,disgust,2,3,surprise,3,3,surprise,2,4,happy,4,3,neutral,3,3,surprise,4,3,disgust,3,3,surprise,4,3,surprise,2,3
42,206.281,225.94,0,0.5747924,0.160022,0.136979,30.95,30.97,Sess02_script01_M021,neutral,3,3,happy,2,3,neutral,2,2,neutral,3,3,sad,2,3,happy,4,3,neutral,4,3,neutral,4,3,happy,4,4,neutral,3,3,neutral,2,3
43,225.94,231.093,0.5747924,-0.0469956,0.136979,0.14594,30.97,31.03,Sess02_script01_F022,happy,3.4,3.8,happy,3,4,disgust,2,4,happy,4,3,surprise,2,4,happy,5,4,happy,4,4,happy,4,3,happy,4,4,happy,4,4,angry,2,4
44,231.093,237.449,-0.0469956,-0.05061065,0.14594,0.153621,31.03,31.05,Sess02_script01_M022,happy,3.4,3.3,happy,3,3,disgust,2,3,neutral,4,3,neutral,2,3,happy,5,4,happy,4,4,happy,4,3,happy,4,4,happy,4,3,angry,2,3
45,237.449,248.007,-0.05061065,-0.01084514,0.153621,0.185625,31.05,31.05,Sess02_script01_F023,happy,3.2,3.6,happy,4,4,angry,2,4,happy,4,4,disgust,1,3,happy,4,3,surprise,4,4,surprise,3,3,happy,4,4,happy,4,3,angry,2,4
46,248.007,272.756,-0.01084514,-0.07230093,0.185625,0.151061,31.05,31.09,Sess02_script01_M023,neutral,2.9,3,neutral,3,3,sad,3,2,neutral,3,3,disgust,1,3,neutral,4,3,neutral,4,3,neutral,2,3,neutral,4,4,neutral,3,3,angry,2,3
47,272.756,276.848,-0.07230093,-0.09760625,0.151061,0.14466,31.09,31.13,Sess02_script01_F024,angry;disgust,2.1,2.6,angry,2,3,disgust,2,2,neutral,3,3,disgust,1,3,happy,4,2,angry,2,2,sad,2,3,disgust,2,3,neutral,2,3,angry,1,2
48,276.848,288.928,-0.09760625,0.007230093,0.14466,0.138259,31.13,31.13,Sess02_script01_M024,neutral,2.4,2.5,angry,2,3,neutral,2,2,neutral,3,2,disgust,1,2,happy,4,2,angry,2,2,neutral,3,3,neutral,2,3,neutral,3,3,neutral,2,3
49,288.928,293.543,0.007230093,-0.003615046,0.138259,0.139539,31.13,31.11,Sess02_script01_F025,neutral,2.1,2.8,angry,1,3,angry,2,3,neutral,3,3,disgust,1,2,neutral,4,3,disgust,2,2,neutral,2,3,disgust,2,3,neutral,2,3,angry,2,3
50,293.543,297.47,-0.003615046,0.05061065,0.139539,0.14338,31.11,31.09,Sess02_script01_M025,neutral,2.2,2.6,neutral,2,3,neutral,2,2,neutral,3,3,disgust,1,2,neutral,3,3,disgust,1,1,neutral,3,3,disgust,2,3,neutral,3,3,neutral,2,3
51,297.47,301.559,0.05061065,0.02892037,0.14338,0.142099,31.09,31.11,Sess02_script01_F026,neutral,2,3.1,neutral,2,3,angry,2,4,neutral,3,3,disgust,1,3,neutral,2,3,disgust,1,1,neutral,3,3,disgust,2,4,neutral,2,3,angry,2,4
52,301.559,303.867,0.02892037,-0.0542257,0.142099,0.142099,31.11,31.05,Sess02_script01_M026,neutral,2.1,3.1,happy,2,3,neutral,2,4,neutral,3,3,disgust,1,4,neutral,2,3,disgust,1,1,neutral,3,3,disgust,2,4,neutral,3,3,neutral,2,3
53,303.867,304.962,-0.0542257,-0.03976551,0.142099,0.139539,31.05,31.05,Sess02_script01_F027,neutral,1.9,3,happy,1,3,angry,2,4,neutral,3,2,disgust,1,4,neutral,2,3,disgust,1,1,neutral,3,3,angry,2,4,neutral,2,3,neutral,2,3
54,304.962,309.654,-0.03976551,0.007230093,0.139539,0.140819,31.05,31.05,Sess02_script01_F028,happy,4.2,3.9,happy,4,4,happy,4,4,happy,4,4,happy,5,4,happy,4,4,happy,4,4,happy,4,3,happy,4,4,happy,5,4,happy,4,4
55,309.654,312.837,0.007230093,-0.04338056,0.140819,0.163862,31.05,31.01,Sess02_script01_M027,happy,4,3.5,happy,4,3,happy,4,4,happy,3,3,happy,5,3,happy,4,4,happy,4,4,neutral,4,3,happy,4,4,happy,4,3,happy,4,4
56,312.837,319.753,-0.04338056,-0.01446019,0.163862,0.14594,31.01,31.01,Sess02_script01_F029,neutral;happy,4.1,3.7,happy,5,4,happy,4,4,neutral,3,4,neutral,4,3,happy,4,4,neutral,4,4,neutral,4,3,happy,4,4,neutral,4,3,happy,5,4
57,319.753,321.325,-0.01446019,-0.003615046,0.14594,0.167703,31.01,31.01,Sess02_script01_M028,neutral,3.3,3.6,disgust,3,4,happy,4,4,surprise,3,4,neutral,4,4,happy,3,4,neutral,4,4,neutral,3,3,neutral,3,3,neutral,3,3,neutral,3,3
58,321.325,329.707,-0.003615046,0,0.167703,0.14466,31.01,30.99,Sess02_script01_F030,angry,3.1,3.8,angry,2,5,happy,3,4,neutral,3,4,disgust,4,4,angry,4,4,angry,2,2,neutral,4,3,disgust,2,4,angry,3,4,angry,4,4
59,329.707,335.081,0,0.007230093,0.14466,0.140819,30.99,30.95,Sess02_script01_M029,neutral,2.9,2.9,angry,2,3,neutral,3,3,neutral,3,3,disgust,3,3,happy,4,3,neutral,2,2,neutral,3,3,neutral,2,3,neutral,3,3,angry,4,3
60,335.081,343.033,0.007230093,-0.07953102,0.140819,0.14594,30.95,30.95,Sess02_script01_F031,neutral;happy,4,3.4,happy,4,4,happy,4,4,happy,4,3,neutral,4,3,happy,4,4,neutral,4,4,happy,4,3,neutral,4,3,neutral,4,3,neutral,4,3
61,343.033,345.917,-0.07953102,0.01446019,0.14594,0.14594,30.95,30.93,Sess02_script01_M030,neutral,3.7,3.3,happy,4,3,happy,4,3,neutral,3,3,neutral,4,4,happy,4,4,neutral,4,4,neutral,3,3,neutral,4,3,neutral,3,3,angry,4,3
62,345.917,355.954,0.01446019,0.01084514,0.14594,0.167703,30.93,30.89,Sess02_script01_F032,happy,4.1,3.3,happy,4,3,happy,4,4,happy,4,3,happy,4,3,happy,4,4,happy,5,4,neutral,4,3,neutral,3,3,neutral,4,3,neutral,5,3
63,355.954,358.491,0.01084514,-0.01807523,0.167703,0.171543,30.89,30.89,Sess02_script01_M031,happy,4.1,3.2,happy,4,3,happy,4,4,happy,4,3,happy,5,3,happy,4,3,neutral,4,4,neutral,4,3,neutral,4,3,neutral,4,3,happy,4,3
64,358.491,364.815,-0.01807523,-0.003615046,0.171543,0.197147,30.89,30.91,Sess02_script01_F033,happy,4,3.7,happy,4,4,happy,4,4,happy,3,4,happy,5,3,happy,4,4,neutral,4,4,neutral,4,3,neutral,4,4,neutral,4,3,happy,4,4
65,364.815,377,-0.003615046,-0.06507084,0.197147,0.195867,30.91,30.85,Sess02_script01_M032,happy,4,3.4,happy,5,3,happy,4,4,neutral,3,3,happy,5,3,happy,4,4,happy,4,4,neutral,4,3,happy,4,4,neutral,3,3,neutral,4,3
66,4.489,15.606,-0.03253542,0,0.207388,0.203548,30.79,30.77,Sess02_script02_M001,neutral,2.4,2.3,neutral,3,1,neutral,2,1,disgust,2,2,neutral,3,3,neutral,2,2,angry,2,2,neutral,2,3,angry,2,3,neutral,3,3,neutral,3,3
67,15.606,17.081,0,-0.01084514,0.203548,0.200987,30.77,30.77,Sess02_script02_F001,neutral;angry,2.1,2.5,disgust,2,2,angry,2,2,neutral,2,3,neutral,2,3,disgust,2,2,angry,2,2,neutral,2,3,angry,2,3,neutral,3,3,angry,2,2
68,17.081,29.165,-0.01084514,-0.003615046,0.200987,0.190746,30.77,30.87,Sess02_script02_M002,angry,2,2,angry,2,1,sad,2,2,disgust,2,2,neutral,2,2,sad,2,1,angry,2,2,sad,2,2,angry,2,3,neutral,2,3,angry,2,2
69,29.165,30.547,-0.003615046,-0.003615046,0.190746,0.193306,30.87,30.83,Sess02_script02_F002,angry,2.1,2,angry,2,1,angry,2,3,neutral,2,2,neutral,2,2,neutral,2,1,angry,2,2,sad,2,2,angry,2,3,neutral,3,2,angry,2,2
70,30.547,34.796,-0.003615046,0.2783586,0.193306,0.185625,30.83,30.89,Sess02_script02_M003,angry,2.2,2,angry,3,2,neutral,2,2,disgust,2,2,neutral,2,2,disgust,2,1,angry,2,1,sad,2,2,angry,2,3,neutral,3,3,angry,2,2
71,34.796,38.981,0.2783586,-0.03253542,0.185625,0.177944,30.89,30.93,Sess02_script02_F003,angry,2,2.6,angry,2,2,disgust,2,4,neutral,2,3,disgust,2,2,angry,2,1,disgust,1,1,neutral,2,2,angry,2,4,neutral,3,3,angry,2,4
72,38.981,51.644,-0.03253542,-0.03253542,0.177944,0.183065,30.93,30.97,Sess02_script02_M004,angry,1.8,2.6,angry,2,2,angry,2,4,disgust,2,3,disgust,2,2,angry,2,1,angry,1,1,angry,2,2,angry,2,4,neutral,2,3,angry,1,4
73,51.644,52.502,-0.03253542,0.05784074,0.183065,0.184345,30.97,30.97,Sess02_script02_F004,angry,2,2.5,angry,2,2,angry,2,3,neutral,2,3,neutral,2,3,neutral,2,2,angry,1,1,angry,2,2,angry,2,4,neutral,3,2,angry,2,3
74,52.502,56.548,0.05784074,0.01807523,0.184345,0.189466,30.97,30.93,Sess02_script02_M005,angry,2,2.5,angry,3,3,angry,1,2,disgust,2,3,neutral,2,3,angry,2,2,angry,1,1,angry,2,2,angry,2,4,neutral,3,3,angry,2,2
75,56.548,57.757,0.01807523,-0.01446019,0.189466,0.185625,30.93,30.91,Sess02_script02_F005,angry,1.7,3.2,angry,2,4,angry,2,3,angry,2,3,angry,2,3,angry,1,2,angry,1,1,angry,1,4,angry,2,4,neutral,3,4,angry,1,4
76,57.757,64.949,-0.01446019,-0.01084514,0.185625,0.183065,30.91,30.89,Sess02_script02_M006,angry,1.9,2.4,angry,2,2,neutral,2,2,angry,2,3,angry,2,3,angry,2,2,sad,1,1,neutral,2,2,angry,2,4,neutral,3,3,angry,1,2
77,64.949,83.805,-0.01084514,-0.02169028,0.183065,0.176664,30.89,30.89,Sess02_script02_M007,angry,2,2.3,angry,3,2,neutral,2,2,angry,2,3,disgust,2,3,sad,1,1,sad,1,1,neutral,2,2,angry,2,4,neutral,3,3,angry,2,2
78,83.805,89.889,-0.02169028,0.03615047,0.176664,0.179224,30.89,30.87,Sess02_script02_F006,sad,1.8,2.3,sad,1,2,sad,2,2,sad,3,3,sad,1,3,sad,1,1,sad,1,1,sad,2,3,sad,2,4,sad,3,2,sad,2,2
79,89.889,91.677,0.03615047,0.05784074,0.179224,0.175384,30.87,30.87,Sess02_script02_M008,sad,1.8,2,sad,2,2,sad,2,2,neutral,2,2,sad,1,2,sad,1,1,sad,1,1,sad,2,2,sad,2,3,neutral,3,3,sad,2,2
80,91.677,95.992,0.05784074,0.007230093,0.175384,0.168983,30.87,30.83,Sess02_script02_F007,sad,1.7,2.2,sad,2,2,sad,2,2,sad,2,3,sad,1,2,sad,1,2,sad,1,1,sad,2,2,sad,2,3,neutral,3,3,sad,1,2
81,95.992,103.279,0.007230093,-0.003615046,0.168983,0.174104,30.83,30.81,Sess02_script02_M009,sad,1.9,2.1,sad,2,2,sad,2,1,neutral,2,3,sad,1,2,sad,2,2,sad,1,1,sad,2,2,sad,2,3,neutral,3,3,sad,2,2
82,103.279,114.992,-0.003615046,-0.01807523,0.174104,0.172824,30.81,30.77,Sess02_script02_F008,sad,1.6,1.8,sad,1,2,sad,2,1,sad,2,2,sad,1,3,sad,1,1,sad,1,1,sad,1,1,sad,2,3,neutral,3,2,sad,2,2
83,114.992,126.468,-0.01807523,0.1229116,0.172824,0.172824,30.77,30.71,Sess02_script02_M010,sad,1.7,2,sad,2,2,sad,2,2,neutral,2,2,sad,1,2,sad,1,1,sad,1,1,sad,2,2,sad,2,3,neutral,3,3,sad,1,2
84,126.468,128.491,0.1229116,-0.03615047,0.172824,0.172824,30.71,30.71,Sess02_script02_F009,sad,1.4,1.7,sad,1,1,sad,3,2,sad,2,2,sad,1,2,sad,1,1,sad,1,1,sad,1,1,sad,1,3,sad,2,2,sad,1,2
85,128.491,133.088,-0.03615047,0.02169028,0.172824,0.176664,30.71,30.71,Sess02_script02_M011,sad,1.3,1.9,sad,1,2,sad,1,2,sad,2,2,sad,1,2,sad,1,1,sad,1,1,sad,1,1,sad,1,3,neutral,3,3,sad,1,2
86,133.088,137.523,0.02169028,0.01807523,0.176664,0.167703,30.71,30.69,Sess02_script02_F010,sad,1.4,1.8,sad,1,2,sad,2,2,sad,1,2,sad,1,2,sad,1,1,sad,1,1,sad,1,1,sad,1,3,neutral,3,2,neutral,2,2
87,137.523,142.877,0.01807523,0.3000489,0.167703,0.168983,30.69,30.67,Sess02_script02_M012,sad,1.8,2,sad,2,2,neutral,2,2,neutral,2,2,sad,1,2,sad,1,1,angry,1,1,sad,2,2,sad,2,3,neutral,3,3,neutral,2,2
88,142.877,146.073,0.3000489,0.003615046,0.168983,0.171543,30.67,30.65,Sess02_script02_F011,sad,1.9,2.3,sad,2,2,neutral,3,3,neutral,2,3,sad,1,2,sad,1,2,angry,1,1,sad,2,2,sad,2,3,neutral,3,2,neutral,2,3
89,146.073,167.744,0.003615046,0.5386419,0.171543,0.162582,30.65,30.61,Sess02_script02_M013,sad,1.8,2,sad,2,2,sad,3,2,neutral,2,3,sad,1,2,sad,1,1,sad,1,1,sad,1,2,sad,2,3,neutral,3,2,sad,2,2
90,167.744,170.141,0.5386419,-0.08676112,0.162582,0.165143,30.61,30.63,Sess02_script02_F012,sad,1.8,1.8,sad,2,2,neutral,3,2,neutral,2,2,sad,1,2,sad,1,1,sad,1,1,sad,1,1,sad,2,3,neutral,3,2,neutral,2,2
91,170.141,207.805,-0.08676112,-0.007230093,0.165143,0.158742,30.63,30.53,Sess02_script02_M014,sad,1.7,1.8,sad,1,1,neutral,2,2,sad,2,2,sad,1,2,sad,1,1,sad,1,1,sad,2,1,sad,2,3,neutral,3,3,neutral,2,2
92,207.805,210.903,-0.007230093,-0.03976551,0.158742,0.154901,30.53,30.51,Sess02_script02_F013,sad,1.6,1.7,sad,1,1,neutral,2,2,sad,2,2,sad,1,2,sad,1,1,sad,1,1,sad,2,1,sad,1,3,neutral,3,2,sad,2,2
93,210.903,218.892,-0.03976551,-0.03976551,0.154901,0.154901,30.51,30.51,Sess02_script02_M015,sad,1.6,2.1,sad,1,1,neutral,2,3,neutral,2,3,sad,1,3,sad,1,1,sad,1,1,sad,2,1,sad,1,3,neutral,3,3,neutral,2,2
94,218.892,226.495,-0.03976551,-0.04338056,0.154901,0.151061,30.51,30.53,Sess02_script02_F014,sad,1.8,2.4,sad,2,3,neutral,3,2,neutral,2,3,sad,1,3,sad,1,2,sad,1,1,sad,2,2,sad,1,3,neutral,3,3,neutral,2,2
95,226.495,232.496,-0.04338056,-0.05061065,0.151061,0.151061,30.53,30.53,Sess02_script02_M016,sad,1.9,2.2,sad,2,2,sad,3,2,neutral,3,3,sad,1,3,sad,1,1,sad,1,1,sad,2,2,sad,1,3,neutral,3,3,neutral,2,2
96,232.496,237.951,-0.05061065,-0.003615046,0.151061,0.152341,30.53,30.57,Sess02_script02_F015,sad,2,2.2,sad,2,2,neutral,3,2,neutral,3,3,sad,1,3,sad,1,1,fear,1,1,sad,2,2,sad,2,3,neutral,3,3,sad,2,2
97,237.951,257.446,-0.003615046,-0.02892037,0.152341,0.153621,30.57,30.57,Sess02_script02_M017,sad,1.8,2.2,sad,2,2,sad,2,2,neutral,2,2,sad,1,3,sad,1,2,sad,1,1,sad,2,2,sad,2,3,neutral,3,3,neutral,2,2
98,257.446,270.499,-0.02892037,0.0469956,0.153621,0.151061,30.57,30.53,Sess02_script02_F016,sad,1.8,2.3,sad,2,3,neutral,3,2,sad,2,2,sad,1,3,sad,1,2,sad,1,1,sad,2,2,sad,1,3,neutral,3,3,sad,2,2
